,iteration,accuracy,subject,series
133,33,0.8376808436465055,0,smoothed accuracy
134,34,0.8375631863343214,0,smoothed accuracy
135,35,0.8366698622973683,0,smoothed accuracy
136,36,0.8374498867003662,0,smoothed accuracy
137,37,0.8379205159491026,0,smoothed accuracy
138,38,0.8381296845040964,0,smoothed accuracy
139,39,0.8385915983963745,0,smoothed accuracy
140,40,0.8379771657660798,0,smoothed accuracy
141,41,0.8378246470280633,0,smoothed accuracy
142,42,0.8381253268258669,0,smoothed accuracy
143,43,0.8375370402649466,0,smoothed accuracy
144,44,0.8383475684155479,0,smoothed accuracy
145,45,0.8382822032421124,0,smoothed accuracy
146,46,0.838334495380861,0,smoothed accuracy
147,47,0.8375849747254662,0,smoothed accuracy
148,48,0.8364171169600837,0,smoothed accuracy
149,49,0.8353146243681367,0,smoothed accuracy
